country,ratings,number_of_customers,years_of_experiance,number_of_reviews,type_of_consultant,first_name,last_name,lat,long
TUR,3,35,5,35,Lawyer,Iker,WOLFE,4.538852469,-11.35254067
USA,3,32,1,32,Education,Melody,HALE,-12.19889342,-30.10632357
BRA,3.25,0,5,0,Lawyer,Matteo,LYONS,-29.62115011,26.29162806
UKG,2,96,1,96,Career,Isabel,GRAVES,29.5631583,-13.13781317
NTH,2.5,83,25,83,Lawyer,Brooke,HAYNES,12.67249057,0.306964275
BEL,2.75,41,7,41,Doctor,Caden,MILES,7.174716522,-16.76499324
FRN,3,75,1,75,Lawyer,Zayden,PARK,8.138787112,-3.563242449
SWZ,3.25,7,6,7,Doctor,Mckenzie,WARNER,41.46700409,-10.54464607
SPN,3.5,8,5,8,Education,Nicole,PADILLA,-10.80488356,-27.54663126
POR,3.5,92,1,92,Doctor,Payton,BUSH,-33.81355698,10.41266324
BAV,3.75,41,6,41,Education,Margaret,THORNTON,-18.74319689,-7.631635088
GMY,3.5,12,6,12,Career,Mariah,MCCARTHY,-38.56550189,30.06426574
BAD,3.25,11,5,11,Education,Riley,MANN,-30.93676495,23.49507267
SAX,3.5,69,8,69,Career,August,ZIMMERMAN,-8.8249468,-38.30595196
WRT,3,24,5,24,Doctor,Eden,ERICKSON,38.67132928,-1.556404484
HSE,2.75,54,3,54,Career,Mark,FLETCHER,-37.70260058,-6.840248827
HSG,3,89,9,89,Lawyer,Maximus,MCKINNEY,35.58749743,18.14389449
AUH,3.25,99,1,99,Doctor,Athena,PAGE,-17.43220063,3.701877057
ITA,3.25,32,5,32,Doctor,Amy,DAWSON,2.443286912,0.944877208
PAP,3.5,88,7,88,Doctor,Norah,JOSEPH,1.820036887,-15.29459547
SIC,3.5,94,2,94,Lawyer,Brady,MARQUEZ,3.459469137,8.708446413
TUS,4,18,5,18,Education,Kenneth,REEVES,5.478503513,7.889944086
GRC,3.5,2,6,2,Doctor,Paul,KLEIN,-28.06110219,-14.66789876
RUS,3.75,66,6,66,Career,Londyn,ESPINOZA,1.049168038,0.903730522
SWD,3.5,63,3,63,Lawyer,Jaden,BALDWIN,42.91533856,-11.27888232
DEN,3.5,47,6,47,Lawyer,Nicolas,MORAN,13.67949271,14.2658637
TUN,3.5,21,6,21,Doctor,Valeria,LOVE,-38.9478054,-17.7186694
TUR,2.75,27,24,27,Doctor,Beau,ROBBINS,14.71548404,2.732740434
USA,3,73,1,73,Lawyer,Sara,HIGGINS,-18.12665919,20.31859064
MEX,3.5,100,5,100,Education,Aliyah,BALL,-28.89814385,-2.624004487
COL,2.5,58,5,58,Lawyer,Angelina,CORTEZ,0,-13.89365059
BRA,3.25,11,6,11,Lawyer,Gracie,LE,-7.720004076,0.20712896
UKG,3.25,36,6,36,Lawyer,Dean,GRIFFITH,-6.953921425,-4.431431468
NTH,2.75,55,5,55,Doctor,Rose,BOWEN,-24.04655633,10.77186197
BEL,3,75,6,75,Doctor,Jake,SHARP,-1.170247237,-13.56863179
FRN,2.5,55,5,55,Doctor,Peter,CUMMINGS,-30.2190981,-16.85838205
SWZ,2.75,2,7,2,Lawyer,Xander,RAMSEY,-36.26859105,21.78097282
SPN,2.75,89,6,89,Education,Rachel,HARDY,-9.815485733,-48.49502361
POR,3,100,5,100,Doctor,Juliana,SWANSON,2.050468025,1.211037074
BAV,2.75,54,0,54,Lawyer,Elliot,BARBER,20.96812445,14.33373401
GMY,2.75,55,4,55,Lawyer,Laila,ACOSTA,-27.18196591,0
BAD,3.25,58,7,58,Doctor,Finn,LUNA,8.153763509,0.783010097
SAX,2.75,98,6,98,Doctor,Brooklynn,CHANDLER,15.17463863,-5.124697369
WRT,3,1,3,1,Lawyer,Valerie,BLAIR,2.907135757,-0.315677531
HSE,3.5,9,6,9,Doctor,Derek,DANIEL,13.21893547,8.455532323
HSG,3.5,66,3,66,Education,Sean,CROSS,-1.336814121,-3.958527776
AUH,3.25,11,5,11,Education,Cayden,SIMON,23.56742666,-36.31236741
ITA,3,96,2,96,Education,Elliott,DENNIS,48.87054307,-23.12885569
PAP,3.25,49,3,49,Education,Alina,OCONNOR,9.76546389,-16.77807877
SIC,2.75,27,6,27,Career,Jax,QUINN,-29.08093981,-22.54023338
TUS,3.5,73,6,73,Education,Reese,GROSS,27.78817956,-5.050829333
GRC,2.5,29,6,29,Career,Jasper,NAVARRO,-5.962802659,1.035533553
RUS,2.75,70,6,70,Doctor,Elise,MOSS,5.817759227,-13.90593027
SWD,2.5,43,5,43,Lawyer,Lorenzo,FITZGERALD,-7.140221619,24.77556123
DEN,3.75,97,0,97,Career,Omar,DOYLE,37.20693098,-9.588478235
TUN,3.75,4,0,4,Lawyer,Eliza,MCLAUGHLIN,45.15753683,1.290303321
TUR,2.5,45,1,45,Doctor,Beckett,ROJAS,-3.661424597,47.16912972
USA,2.5,20,5,20,Lawyer,Alaina,RODGERS,1.238987217,0.320691222
MEX,2.5,98,3,98,Doctor,Rowan,STEVENSON,-23.77899271,0.132962199
COL,2.75,8,4,8,Education,Raelynn,SINGH,-22.47504935,-22.88974304
BRA,3,95,9,95,Education,Leilani,YANG,-8.006363126,-4.461707524
UKG,3,61,5,61,Career,Catherine,FIGUEROA,-12.99196005,-35.85684888
NTH,3,34,7,34,Career,Emerson,HARMON,-1.253463715,-5.727262437
BEL,3.25,63,2,63,Doctor,Gael,NEWTON,35.11131771,-23.25893299
FRN,2.75,19,5,19,Doctor,Cecilia,PAUL,46.31075624,-6.98235133
SWZ,2.75,38,0,38,Lawyer,Corbin,MANNING,7.708436718,-23.35089034
SPN,3.25,92,2,92,Doctor,Genevieve,GARNER,9.104265727,3.562352013
POR,3.5,25,3,25,Education,Daisy,MCGEE,-8.184014835,-5.825185503
BAV,3.75,65,6,65,Doctor,Waylon,REESE,17.61612906,-22.23887855
GMY,3.75,67,13,67,Lawyer,Harmony,FRANCIS,-16.6064894,-26.62110436
BAD,3.75,49,4,49,Education,Myles,BURGESS,-14.20585173,17.58721883
SAX,3.75,71,1,71,Lawyer,Vanessa,ADKINS,-11.03378699,0.340381047
WRT,2.5,9,16,9,Lawyer,Adriana,GOODMAN,-41.69070156,8.645713117
HSE,2.75,7,1,7,Education,Presley,CURRY,13.60376498,-37.58093056
HSG,3.25,60,2,60,Education,Rebecca,BRADY,-4.27308648,14.21950106
AUH,2.5,48,2,48,Career,Destiny,CHRISTENSEN,-11.90003036,-6.126825958
ITA,3,61,3,61,Lawyer,Hayden,POTTER,-14.48101946,0.76477793
PAP,3.25,38,2,38,Career,Tanner,WALTON,3.150957628,-30.73204038
SIC,3.25,88,6,88,Career,Jorge,GOODWIN,11.00778529,-20.77312866
TUS,3.5,79,6,79,Lawyer,Julianna,MULLINS,5.893441857,43.27260587
GRC,3.25,65,15,65,Doctor,Michelle,MOLINA,30.90098179,-3.401799535
RUS,3.25,32,6,32,Career,Javier,WEBSTER,-21.30430614,1.859274615
SWD,3.5,4,4,4,Doctor,Zion,FISCHER,6.769657402,8.708389755
DEN,2.5,67,5,67,Doctor,Adelyn,CAMPOS,-34.89584469,2.859354724
TUN,2.5,20,6,20,Lawyer,Arabella,AVILA,-5.817517745,-4.122862395
TUR,3,35,25,35,Doctor,Summer,SHERMAN,31.07974033,30.07607311
USA,2.5,70,3,70,Lawyer,Andres,TODD,-5.858345169,-5.39840183
MEX,2.5,52,5,52,Doctor,Callie,CHANG,-2.57563807,-19.27541224
COL,2.5,4,1,4,Doctor,Charlie,BLAKE,22.9997861,-35.54588832
BRA,2.75,95,3,95,Career,Paxton,MALONE,3.18848793,18.46961765
UKG,3,39,20,39,Career,Emiliano,WOLF,1.249614428,-32.52769974
NTH,3,11,8,11,Career,Kaitlyn,HODGES,14.88774821,-24.18069985
BEL,3,47,12,47,Doctor,Brooks,JUAREZ,-2.152008229,-0.479378273
FRN,2.75,36,6,36,Lawyer,Zane,GILL,39.90005856,-3.77508336
SWZ,3.25,91,6,91,Career,Ryleigh,FARMER,-18.17158931,13.41274576
SPN,3.75,16,15,16,Doctor,Lila,HINES,0.025463169,-2.460664946
POR,3,90,1,90,Doctor,Daniela,GALLAGHER,4.572743832,32.00376886
BAV,2.75,95,0,95,Career,Arya,DURAN,3.805866519,-17.58346479
GMY,3.75,55,0,55,Doctor,Simon,HUBBARD,-10.63994821,-13.39793945
BAD,3,4,4,4,Career,Judah,CANNON,2.638018564,28.14043056
SAX,4,90,7,90,Lawyer,Alana,MIRANDA,-22.08930463,29.208987
WRT,1,31,4,31,Career,Esther,WANG,-34.24000159,38.88038577
HSE,3.5,10,6,10,Career,Griffin,SAUNDERS,28.70524558,12.27758079
HSG,3,33,6,33,Career,Finley,TATE,-23.00512211,3.716228349
AUH,3.25,58,13,58,Career,Gabrielle,MACK,-7.328698135,20.96628966
ITA,2.75,6,2,6,Lawyer,Cody,HAMMOND,11.85656366,-5.517462852
PAP,3.25,13,4,13,Doctor,Gunner,CARRILLO,46.125829,-19.35424773
SIC,3.75,53,4,53,Education,Jessica,TOWNSEND,-21.44032197,1.626412224
TUS,2.75,23,4,23,Doctor,Dawson,WISE,-44.86429963,-19.44556359
GRC,3.5,2,7,2,Lawyer,Israel,INGRAM,0.905323928,36.36546489
RUS,2.75,47,3,47,Lawyer,Charlie,BARTON,4.893999094,1.915874212
SWD,3.25,22,0,22,Education,Stephanie,MEJIA,-0.292155183,12.82636248
DEN,3.5,77,5,77,Doctor,Tessa,AYALA,-2.368853079,8.418079712
TUN,1.5,84,4,84,Lawyer,Rylan,SCHROEDER,-21.67936872,38.21429419
TUR,3.75,65,1,65,Lawyer,Makenzie,HAMPTON,6.30737436,38.73527718
USA,3.5,54,6,54,Lawyer,Ana,ROWE,11.03695704,-23.35064057
MEX,3.25,65,5,65,Career,Amaya,PARSONS,-1.850062456,-1.745144888
COL,3,26,6,26,Career,Alexandria,FRANK,-23.42054239,5.735463884
BRA,2.5,26,8,26,Education,Gage,WATERS,-10.65927915,12.19209559
UKG,3,71,2,71,Education,Alivia,STRICKLAND,-6.711405176,-2.10261713
NTH,3.25,18,6,18,Doctor,Nova,OSBORNE,4.955419886,-17.05220826
BEL,3.25,24,4,24,Education,Messiah,MAXWELL,-17.33501243,21.37755728
FRN,3,11,13,11,Lawyer,River,CHAN,3.032908188,-44.05592044
SWZ,3.25,22,5,22,Education,Kameron,DELEON,37.30225545,-14.33979895
SPN,3.5,58,1,58,Career,Anastasia,NORMAN,0.865326438,24.18873576
POR,3.75,41,15,41,Career,Iris,HARRINGTON,35.59510313,-8.482125944
BAV,3,81,1,81,Doctor,Marley,CASEY,-0.439461261,1.096910415
GMY,3,46,5,46,Lawyer,Fiona,PATTON,-24.61945655,-15.94837296
BAD,3,75,1,75,Education,Angela,LOGAN,-27.18400173,10.57201696
SAX,1,70,5,70,Education,Giselle,BOWERS,6.449849787,49.32047638
WRT,2.5,99,6,99,Career,Stephen,MUELLER,33.41922589,-21.36353241
HSE,2.75,89,4,89,Education,Francisco,GLOVER,-21.88133723,0.268781552
HSG,3.25,40,4,40,Doctor,Kate,FLOYD,17.0033373,-5.960765208
AUH,3.25,11,0,11,Career,Clayton,HARTMAN,6.82909106,10.37085153
ITA,3.25,46,5,46,Education,Zander,BUCHANAN,10.38093962,-9.513198728
PAP,3.25,1,6,1,Doctor,Alayna,COBB,9.403075349,48.78607355
SIC,3.5,56,4,56,Education,Chance,FRENCH,11.49781071,1.385660965
TUS,3.25,46,4,46,Lawyer,Lola,KRAMER,-12.98368533,34.77192352
GRC,3.75,55,25,55,Education,Lucia,MCCORMICK,-3.547868296,-0.949052315
RUS,2.75,70,2,70,Lawyer,Eduardo,CLARKE,-8.502839411,24.80403928
SWD,3.25,57,1,57,Career,Juliette,TYLER,5.85063577,-6.367527102
DEN,2.75,85,7,85,Doctor,Parker,GIBBS,41.90514114,-8.054781519
TUN,3,22,2,22,Career,Teagan,MOODY,-8.974418273,28.53014632
TUR,3.5,48,1,48,Doctor,Sienna,CONNER,-1.655670175,-1.817342768
USA,2.25,74,25,74,Lawyer,Spencer,SPARKS,-5.301010386,46.34803324
MEX,2.75,88,5,88,Career,Lukas,MCGUIRE,-16.03496886,19.53325963
COL,3.75,90,1,90,Education,Georgia,LEON,-39.13293715,-32.5156611
BRA,3,16,5,16,Lawyer,Hope,BAUER,2.223764223,15.34613593
UKG,3.5,50,0,50,Lawyer,Cali,NORTON,2.666431199,16.55614564
NTH,3.5,98,6,98,Career,Vivienne,POPE,25.80583377,29.78595204
BEL,2.75,79,0,79,Lawyer,Damien,FLYNN,3.681711659,17.73743137
FRN,3.75,100,7,100,Lawyer,Dallas,HOGAN,-12.96331305,6.634215906
SWZ,2.75,95,6,95,Career,Izabella,ROBLES,11.03030189,16.22058156
SPN,3.25,4,6,4,Lawyer,Kinley,SALINAS,-23.13983568,-11.5548515
POR,3.5,23,3,23,Lawyer,Conner,YATES,5.255177695,-8.341372796
BAV,3.5,16,12,16,Career,Travis,LINDSEY,-14.60721331,-5.616416115
GMY,3,52,18,52,Career,Daleyza,LLOYD,-20.83856674,-16.26450028
BAD,3.25,31,5,31,Lawyer,Kylee,MARSH,-2.899382765,-15.07964843
SAX,3.75,56,3,56,Doctor,Knox,MCBRIDE,-0.667250102,36.01356877
WRT,3.25,44,0,44,Doctor,Jayla,OWEN,27.24898236,49.71406242
HSE,3.25,84,6,84,Lawyer,Raymond,SOLIS,-44.7417371,44.30453757
HSG,3.25,43,7,43,Lawyer,Katelyn,PHAM,-20.2218479,10.51266204
AUH,3.25,17,2,17,Lawyer,Peyton,LANG,36.04764732,11.81317799
ITA,3,98,4,98,Career,Devin,PRATT,29.87085021,-38.30809602
PAP,3.75,98,5,98,Career,Felix,LARA,-12.3185228,0
SIC,3.75,5,6,5,Career,Jayceon,BROCK,39.42275877,-36.14459765
TUS,4,28,4,28,Doctor,Collin,BALLARD,23.12989687,21.05356
GRC,3.25,19,3,19,Career,Amari,TRUJILLO,-23.91924977,-19.35514228
RUS,3.5,55,6,55,Doctor,Erick,SHAFFER,-0.47613587,-1.365951115
SWD,3,70,5,70,Doctor,Cash,DRAKE,-12.26643583,-36.21144287
DEN,3.25,15,1,15,Lawyer,Juliet,ROMAN,-11.21588407,-7.383870676
TUN,2.75,91,0,91,Education,Jaiden,AGUIRRE,11.37123448,28.70260763
TUR,3,56,1,56,Education,Fernando,MORTON,9.306323017,-6.373041434
USA,3.25,81,1,81,Lawyer,Cristian,STOKES,0.015938076,22.50424224
MEX,3.25,44,5,44,Doctor,Josue,LAMB,9.351554351,-17.43932238
COL,3,93,6,93,Doctor,Keegan,PACHECO,-18.63368997,-22.60346229
BRA,3.25,61,7,61,Career,Garrett,PATRICK,-4.093172392,-37.42671802
UKG,3,87,5,87,Education,Rhett,COCHRAN,30.15011034,17.10615022
NTH,3.25,15,11,15,Career,Ricardo,SHEPHERD,-3.689173639,8.774412637
BEL,2.5,40,3,40,Doctor,Martin,CAIN,42.4157936,25.8701782
FRN,2.75,54,3,54,Doctor,Reid,BURNETT,6.600239361,42.26152916
SWZ,2.75,72,5,72,Lawyer,Seth,HESS,11.0416012,13.98680422
SPN,3.25,63,6,63,Career,Maggie,LI,-10.58052418,-8.500533114
POR,3.5,9,9,9,Lawyer,Dakota,CERVANTES,19.21568492,-30.86234188
BAV,3.5,36,6,36,Doctor,Delaney,OLSEN,-11.59678447,11.76958684
GMY,2.5,54,2,54,Doctor,Brynlee,BRIGGS,32.81896016,2.055564677
BAD,3,40,6,40,Lawyer,Andre,OCHOA,1.677382345,-39.8054952
SAX,2.5,74,0,74,Education,Keira,CABRERA,-2.427672737,-14.30625736
WRT,3,54,0,54,Career,Camille,VELASQUEZ,5.269812858,3.633864039
HSE,3,28,0,28,Education,Cesar,MONTOYA,31.84582366,22.48028614
HSG,3,51,5,51,Doctor,Titus,ROTH,7.623175044,46.9763734
AUH,3,49,3,49,Career,Leila,MEYERS,13.60424271,-47.2963454
ITA,3,90,1,90,Education,Mckenna,CARDENAS,-46.39099338,-28.90744437
PAP,3,47,6,47,Career,Aniyah,FUENTES,48.08903017,-5.373225139
SIC,3.75,59,3,59,Education,Donovan,WEISS,-11.13058703,32.68957639
TUS,2.5,71,5,71,Doctor,Manuel,HOOVER,37.15294915,-3.60552957
GRC,2.75,49,5,49,Education,Mario,WILKINS,2.315484327,6.735263035
RUS,3.5,75,6,75,Doctor,Caiden,NICHOLSON,-12.10249107,-33.70950298
SWD,3.5,29,6,29,Doctor,Adriel,UNDERWOOD,-1.658925792,-20.22508433
DEN,3.75,73,2,73,Career,Kyler,SHORT,43.34421308,0.519433714
TUN,3.5,92,4,92,Education,Noelle,CARSON,-28.98819322,17.77560563
TUR,3.75,99,7,99,Education,Josie,MORROW,1.992582013,-31.65772275
USA,3.5,62,6,62,Doctor,Jennifer,COLON,-12.28549924,-7.328176662
MEX,3.25,40,1,40,Education,Melissa,HOLLOWAY,11.94250321,-4.776083128
COL,3.5,26,5,26,Education,Milo,SUMMERS,-2.179409988,13.27134418
BRA,2.75,64,5,64,Doctor,Archer,BRYAN,17.47769279,-0.396883064
UKG,2.75,76,10,76,Career,Gabriela,PETERSEN,-8.709020561,-14.1722677
NTH,2.75,27,5,27,Education,Allie,MCKENZIE,-32.91979668,-3.156881213
BEL,3,53,16,53,Doctor,Eloise,SERRANO,-19.73594601,-9.158030828
FRN,2.75,92,11,92,Lawyer,Jeffrey,WILCOX,8.035532029,0.58809403
SWZ,3,12,1,12,Doctor,Holden,CAREY,25.52818558,-8.307658275
SPN,3.25,28,7,28,Education,Arthur,CLAYTON,12.36205752,6.37908447
POR,3,69,24,69,Doctor,Cassidy,POOLE,-14.68972473,-0.727392389
HAN,3.25,84,6,84,Education,Jacqueline,CALDERON,-11.97161483,25.63824646
BAV,3.25,15,5,15,Doctor,Brynn,GALLEGOS,8.136846024,-27.49576682
GMY,3.5,0,1,0,Career,Karson,GREER,-11.3185564,-6.170504805
BAD,3.75,63,5,63,Lawyer,Sawyer,RIVAS,15.68944016,-9.748809982
SAX,3,50,0,50,Lawyer,Rafael,GUERRA,40.02238908,10.63572599
WRT,1.5,97,23,97,Education,Evangeline,DECKER,-43.35549151,-25.49260576
HSE,3.75,36,2,36,Doctor,Jordan,COLLIER,20.12537246,-47.42331269
HSG,3.75,7,4,7,Lawyer,Paris,WALL,17.86558234,-19.37420946
AUH,3,30,5,30,Education,Shane,WHITAKER,-2.363189274,0.381286504
ITA,3.5,100,0,100,Career,Lane,BASS,29.96755344,26.39704639
PAP,3.75,100,6,100,Education,Louis,FLOWERS,-24.84066326,-20.68516484
SIC,3.5,59,5,59,Doctor,Angelo,DAVENPORT,-12.28933457,7.508418925
TUS,3,2,5,2,Lawyer,Olive,CONLEY,-38.83953083,0.663092469
GRC,3,7,3,7,Career,Ayla,HOUSTON,21.64395109,-28.00939025
RUS,3,54,5,54,Doctor,Remington,HUFF,-0.289864448,0.749476308
SWD,3.5,33,15,33,Doctor,Troy,COPELAND,-26.90906535,4.648049574
DEN,3.75,86,5,86,Lawyer,Emerson,HOOD,-0.372325789,20.59643256
TUN,4,31,2,31,Lawyer,Maximiliano,MONROE,46.7742745,-10.83687434
TUR,3.25,37,1,37,Education,Hector,MASSEY,15.37544063,-0.578296256
USA,3.25,29,6,29,Career,Rosalie,ROBERSON,-3.102428536,-1.856207287
MEX,3.5,49,11,49,Doctor,Emilio,COMBS,2.87353047,-28.79415971
COL,3.5,59,3,59,Career,Kali,FRANCO,-36.25130064,32.97516074
BRA,3.75,57,3,57,Education,Anderson,LARSEN,16.41209072,3.465662288
UKG,4,100,6,100,Lawyer,Trevor,PITTMAN,8.652222469,-7.750357361
NTH,4,79,2,79,Career,Maci,RANDALL,-17.24592422,29.70349023
BEL,3,76,6,76,Career,Gemma,SKINNER,4.340559048,0.173630687
FRN,3.25,94,5,94,Education,Lilliana,WILKINSON,39.02874766,1.724223222
SWZ,3.5,61,6,61,Education,Raegan,KIRBY,0.665872724,5.079613772
SPN,2.75,88,7,88,Career,Lena,CAMERON,5.17112458,-11.72613195
POR,2.5,15,5,15,Lawyer,Adelaide,BRIDGES,12.26703145,1.601612692
HAN,2.75,34,2,34,Lawyer,Phoenix,ANTHONY,-6.538626781,-15.86304925
BAV,2.75,64,11,64,Career,Walter,RICHARD,-3.635646754,-1.820986213
GMY,4,39,0,39,Career,Journey,KIRK,-42.26962761,-0.499082982
BAD,3.5,50,6,50,Education,Johnathan,BRUCE,30.81960675,23.21690989
SAX,3.75,92,6,92,Lawyer,Johnny,SINGLETON,1.513926416,0.332011595
WRT,3.75,22,3,22,Lawyer,Adelynn,MATHIS,49.45600864,33.61243942
HSE,3.75,85,5,85,Career,Edwin,BRADFORD,10.72233185,-26.90719512
HSG,3.5,41,6,41,Education,Julius,BOONE,-1.886772921,14.15501468
AUH,3,93,4,93,Doctor,Alessandra,ABBOTT,-14.92721128,-30.61788684
ITA,3.25,55,5,55,Doctor,Kenzie,CHARLES,1.672518562,1.011105485
PAP,3.5,84,5,84,Career,Barrett,ALLISON,11.07921364,1.963648217
SIC,3.5,68,7,68,Education,Miranda,SWEENEY,16.31219316,-8.97552577
TUS,3.75,91,6,91,Doctor,Leon,ATKINSON,12.85431554,-34.9650135
GRC,2.5,44,6,44,Lawyer,Haley,HORN,39.86726273,4.066304437
RUS,3.75,57,0,57,Lawyer,June,JEFFERSON,1.765101667,-19.98985235
SWD,3.25,53,3,53,Lawyer,Harley,ROSALES,12.31423557,40.8215276
DEN,2.75,9,6,9,Doctor,Charlee,YORK,17.5314668,35.37724123
TUN,3.5,69,26,69,Career,Tyson,CHRISTIAN,-1.810248152,3.446669309
TUR,3.5,12,6,12,Lawyer,Lucille,PHELPS,18.02318761,14.77469021
USA,3.25,92,5,92,Education,Talia,FARRELL,-6.207615916,-6.199357111
MEX,3.25,100,6,100,Doctor,Skyler,CASTANEDA,36.41849775,4.287734403
COL,4,4,26,4,Career,Makenna,NASH,2.910871187,-1.996444135
PER,3.25,5,0,5,Lawyer,Phoebe,DICKERSON,-1.468918718,-35.09031403
BRA,3.5,95,5,95,Lawyer,Tobias,BOND,41.95153223,31.73510888
CHL,3.75,32,7,32,Career,Edgar,WYATT,5.247469865,-9.646732177
UKG,3.25,28,2,28,Doctor,Jane,FOLEY,0.975766632,11.23796445
NTH,3.25,45,26,45,Career,Lyric,CHASE,12.49394991,7.300126926
BEL,2.75,83,5,83,Doctor,Angel,GATES,-3.558186548,41.14830867
FRN,3,33,6,33,Career,Dominick,VINCENT,-10.69823005,-33.76276497
SWZ,3.75,71,7,71,Education,Elaina,MATHEWS,21.07827938,13.05217165
SPN,2.75,84,3,84,Education,Adrianna,HODGE,-5.050187495,16.33414218
POR,3.75,5,0,5,Education,Ruth,GARRISON,21.76841056,12.60732596
HAN,2.75,82,3,82,Education,Marshall,TREVINO,-17.77542731,-24.6423592
BAV,3,65,2,65,Education,Miriam,VILLARREAL,-6.231007732,-0.510184173
GMY,2.5,85,2,85,Doctor,Diana,HEATH,5.978067077,29.31146473
BAD,2.5,34,6,34,Career,Mariana,DALTON,43.96978241,-0.94996327
SAX,3,5,3,5,Career,Danielle,VALENCIA,43.53141964,-0.03566956
WRT,2.75,37,6,37,Education,Marco,CALLAHAN,15.20863626,2.645978989
HSE,2.75,16,3,16,Education,Jenna,HENSLEY,25.41267452,1.567265354
HSG,3.25,83,4,83,Career,Joaquin,ATKINS,7.36026744,2.32447823
AUH,3,30,17,30,Education,Shelby,HUFFMAN,10.18141665,-11.45295229
ITA,3.5,16,3,16,Education,Nina,ROY,43.00490659,28.23364261
PAP,3.25,53,5,53,Doctor,Dante,BOYER,-0.202028372,48.36977538
SIC,3.25,60,3,60,Career,Madeleine,SHIELDS,8.920100251,33.93836788
TUS,3.25,18,6,18,Doctor,Andy,LIN,-6.343060908,1.472666424
GRC,3,80,5,80,Lawyer,Elliana,HANCOCK,-12.30483343,-14.45081241
RUS,3.25,66,1,66,Doctor,Cruz,GRIMES,-43.07002902,0.745189274
SWD,2.75,21,1,21,Doctor,Ali,GLENN,7.20297792,-15.96222431
DEN,2,98,12,98,Lawyer,Amina,CLINE,-0.09564114,-12.9115175
TUN,3.5,98,0,98,Education,Amiyah,DELACRUZ,8.349341309,-23.20258564
TUR,2.75,25,2,25,Doctor,Finley,CAMACHO,27.9361212,-6.476908516
USA,3,62,6,62,Lawyer,Chelsea,DILLON,-30.12795148,13.32982389
MEX,2.5,69,2,69,Doctor,Joanna,PARRISH,-7.781444023,-1.680064469
COL,2.5,37,20,37,Doctor,Jada,ONEILL,-2.736531417,11.16267652
PER,2.5,41,3,41,Lawyer,Lexi,MELTON,-22.64122172,-9.588919563
BRA,2.75,83,4,83,Career,Katie,BOOTH,-26.83585436,14.75241277
CHL,2.5,92,7,92,Doctor,Dalton,KANE,18.99903833,28.28081859
UKG,3,49,6,49,Lawyer,Maddison,BERG,-47.53386019,-41.2673774
NTH,3.5,63,6,63,Career,Gideon,HARRELL,-30.51127474,3.737273894
BEL,3.75,29,6,29,Education,Reed,PITTS,11.03364753,-21.76525585
FRN,2.75,24,5,24,Career,Fatima,SAVAGE,-23.90469812,-35.77571318
SWZ,3,15,4,15,Career,Vera,WIGGINS,-0.146033375,-25.70230275
SPN,2.5,93,1,93,Doctor,Enzo,BRENNAN,41.58272093,-42.19011007
POR,2.75,84,1,84,Doctor,Sergio,SALAS,-8.76977832,8.341008791
HAN,3.5,29,0,29,Career,Jett,MARKS,3.960686241,-20.79773965
BAV,2,15,5,15,Career,Thiago,RUSSO,4.582895935,-5.01453302
GMY,3,17,6,17,Career,Kyrie,SAWYER,-21.29337063,-5.021393699
BAD,3,28,6,28,Education,Ronan,BAXTER,-23.35148544,-8.005713779
SAX,3,88,12,88,Doctor,Malia,GOLDEN,-3.886023917,-17.79143119
WRT,3.5,8,6,8,Career,Lilah,HUTCHINSON,-16.20265266,-0.162272429
HSE,4,64,24,64,Doctor,Madilyn,LIU,49.29814122,-43.31578156
HSG,2.25,23,0,23,Education,Cohen,WALTER,9.320700731,-38.60629406
AUH,3,64,5,64,Education,Amanda,MCDOWELL,49.52805166,5.297742049
ITA,3.25,43,1,43,Doctor,Daniella,WILEY,-2.149388329,8.844398402
PAP,2.5,62,6,62,Career,Colt,RICH,-11.77829365,-0.972931354
SIC,2.75,26,5,26,Career,Erik,HUMPHREY,5.692178807,30.64601443
TUS,2.75,76,6,76,Doctor,Alexia,JOHNS,1.30729159,9.848199029
GRC,2.75,26,0,26,Career,Kathryn,KOCH,19.1028344,-21.77505312
RUS,2.75,40,6,40,Education,Paislee,SUAREZ,5.546005299,-0.951759234
SWD,3.5,39,6,39,Doctor,Selena,HOBBS,0.699402938,-3.378742801
DEN,3.75,9,5,9,Career,Trenton,BEARD,11.54986403,14.70072359
TUN,3.5,27,0,27,Lawyer,Jared,GILMORE,-33.47317105,14.36704296
TUR,3.75,55,4,55,Lawyer,Laura,IBARRA,20.82147201,4.559957148
USA,3.75,31,1,31,Doctor,Walker,KEITH,7.068985946,-20.88289533
MEX,3.5,60,0,60,Education,Annie,MACIAS,-7.676294637,-11.50804661
COL,3.5,41,3,41,Doctor,Landen,KHAN,-49.22927173,-12.31001417
VEN,3.5,69,2,69,Career,Nyla,ANDRADE,37.26682562,-32.65118056
PER,3,9,5,9,Career,Catalina,WARE,21.71911795,-21.00547771
BRA,3.5,40,2,40,Career,Kayleigh,STEPHENSON,23.34026711,-0.749470877
CHL,3.5,0,21,0,Education,Sloane,HENSON,24.77967177,2.173854969
ARG,3.5,9,5,9,Lawyer,Kamila,WILKERSON,-2.536816102,-29.15136758
UKG,3.5,49,7,49,Career,Alexis,DYER,16.79099669,-27.92674001
NTH,3,46,6,46,Education,Nash,MCCLURE,-24.92030765,10.98955454
